name ecl_lat ecl_lon vmag color
"alpha Arietis" 9.966087150637067 37.661309663185236 2.0 1.149999976158142
"beta Arietis" 8.488068357439479 33.96844892884687 2.640000104904175 0.12999999523162842
"35 Arietis" 11.314666249121572 46.934646488710385 4.659999847412109 -0.12999999523162842
"39 Arietis" 12.482908540646434 48.36773918417887 4.510000228881836 1.1100000143051147
"41 Arietis" 10.450608649239483 48.20316572824843 3.630000114440918 -0.10000000149011612
Alcyone 4.05106771391774 59.99300012725663 2.869999885559082 -0.09000000357627869
Atlas 3.9176898714558495 60.356303686957304 3.630000114440918 -0.09000000357627869
Electra 4.190150654895461 59.412284783839745 3.700000047683716 -0.10999999940395355
Merope 3.956054093925977 59.6999057634063 4.179999828338623 -0.05999999865889549
Taygete 4.518434251341323 59.5652184389602 4.300000190734863 -0.10999999940395355
Pleione 3.997842029420238 60.37988721298858 5.090000152587891 -0.07999999821186066
Aldebaran -5.467712873013713 69.79014936206426 0.8500000238418579 1.5399999618530273
"lambda Orionis" -13.369826566053282 83.70875599011696 3.5399999618530273 -0.18000000715255737
"phi1 Orionis" -13.810623547766815 83.60774048438043 4.409999847412109 -0.1599999964237213
"phi2 Orionis" -14.03147678231565 84.12826877162337 4.090000152587891 0.949999988079071
Betelgeuse -16.027441838082503 88.75660645757816 0.5 1.850000023841858
Castor 10.095988676977502 110.24252561663413 2.880000114440918 0.03999999910593033
Pollux 6.6839310253060065 113.21728916913885 1.1399999856948853 1.0
"gamma Cancri" 3.1904187309738123 127.53953101538401 4.659999847412109 0.019999999552965164
"delta Cancri" 0.07703452627869217 128.72325810072167 3.940000057220459 1.0800000429153442
"theta Cancri" -0.7681172246986455 125.729672884123 5.349999904632568 1.559999942779541
"delta Hydrae" -12.392034468895623 130.30579494549363 4.159999847412109 0.0
"epsilon Hydrae" -11.10332663944097 132.34624632402583 3.380000114440918 0.6800000071525574
"eta Hydrae" -14.250053710271164 132.3053319250317 4.300000190734863 -0.20000000298023224
"rho Hydrae" -11.55109979755524 132.91106692241738 4.360000133514404 -0.03999999910593033
"sigma Hydrae" -14.60115181417501 131.21089881924553 4.440000057220459 1.2100000381469727
Regulus 0.46481000004654793 149.8289854864253 1.350000023841858 -0.10999999940395355
"delta Leonis" 14.332240310652372 161.31566510094288 2.559999942779541 0.11999999731779099
"theta Leonis" 9.67332576003664 163.4218525781155 3.3399999141693115 -0.009999999776482582
Denebola 12.26564951974447 171.61570282084676 2.140000104904175 0.09000000357627869
"alpha Corvi" -21.747110026737065 192.24036495466825 4.019999980926514 0.3199999928474426
"beta Corvi" -18.042808041123138 197.36315161523257 2.6500000953674316 0.8899999856948853
"gamma Corvi" -14.499415464007138 190.72184432664525 2.5899999141693115 -0.10999999940395355
